question,answer
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di phishing mirato?","Scrivi a it-security@moratogroup.com. Monitoriamo costantemente le minacce di phishing."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali e amido naturali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla continuità operativa?","Il report di sostenibilità include informazioni sulla continuità operativa. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici né sciroppo sintetici."
"Avete prodotti per la merenda con leone?","No, i nostri prodotti non contengono leone."
"Come posso fare una richiesta di collaborazione per un festival della moda?","Per festival della moda, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali e conservanti artificiali."
"Posso ordinare prodotti per un evento di filatelia?","Per eventi di filatelia, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici né olio sintetici."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di ingegneria sociale?","Scrivi a it-security@moratogroup.com. La formazione continua è fondamentale."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali e gelatina naturali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla gestione delle crisi?","Il report di sostenibilità include informazioni sulla gestione delle crisi. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici né amido sintetici."
"Avete prodotti per la merenda con ippopotamo?","No, i nostri prodotti non contengono ippopotamo."
"Come posso fare una richiesta di collaborazione per un festival del design?","Per festival del design, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivos naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali e additivi artificiali."
"Posso ordinare prodotti per un evento di numismatica?","Per eventi di numismatica, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici né gelatina sintetici."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di spoofing?","Scrivi a it-security@moratogroup.com. Implementiamo controlli anti‑spoofing."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali e conservanti artificiali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla risposta agli incidenti?","Il report di sostenibilità include informazioni sulla risposta agli incidenti. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici né additivi naturali."
"Avete prodotti per la merenda con orso?","No, i nostri prodotti non contengono orso."
"Come posso fare una richiesta di collaborazione per un festival della cucina?","Per festival della cucina, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali e coloranti artificiali."
"Posso ordinare prodotti per un evento di calligrafia?","Per eventi di calligrafia, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali né coloranti naturali."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura e spezie?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di furto di identità?","Scrivi a it-security@moratogroup.com. Proteggiamo l'identità dei nostri stakeholder."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali e additivi artificiali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla sicurezza fisica?","Il report di sostenibilità include informazioni sulla sicurezza fisica. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali né aromi naturali."
"Avete prodotti per la merenda con lupo?","No, i nostri prodotti non contengono lupo."
"Come posso fare una richiesta di collaborazione per un festival della poesia?","Per festival della poesia, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali e aromi artificiali."
"Posso ordinare prodotti per un evento di magia?","Per eventi di magia, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali, aromi naturali né dolcificanti naturali."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura e spezie e erbe aromatiche?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di violazione dei dati?","Scrivi a privacy@moratogroup.com. Segnaliamo le violazioni alle autorità competenti."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali e coloranti artificiali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla conformità normativa?","Il report di sostenibilità include informazioni sulla conformità normativa. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali né antiossidanti naturali."
"Avete prodotti per la merenda con volpe?","No, i nostri prodotti non contengono volpe."
"Come posso fare una richiesta di collaborazione per un festival del libro?","Per festival del libro, scrivi a comunicazione@moratogroup.com."
